Id;Year;Country;Cash;Liquid_Assets;Gross_Loans;Total_Assets;Total_Deposits;Total_Liabilities;Total_Equity;Net_Interest_Income;NPL_s_Gross_Loans;Loan_Loss_Provisions_s_Gross_Loans;Net_Interest_Revenue_s_Total_Assets;ROAE;ROAA;Liquid_Assets_s_Total_Assets;Total_Equity_s_Total_Assets;NonInt_Ex_s_Avg_Assets;Total_Cap_Ratio;Rating_num;Rating
Id_032;2013;CHILE;2574.65;4976.17;39971.19;51582.46;33343.06;47087.69;4494.77;2055.83;2.93;1.81;4.16;20.01;1.72;9.65;8.71;2.4;13.82;5;A+
Id_033;2013;CHILE;389.33;3580.14;24984.08;33393.25;23794.72;30114.95;3278.29;873.85;0.71;0.87;2.95;11.41;1.07;10.72;9.82;2.38;13.22;10;BBB-
Id_034;2013;CHILE;1064.08;5318.07;39845.56;49514.8;33907.96;45153.42;4361.38;2022.24;1.14;1.1;4.31;23.59;2.12;10.74;8.81;2.57;13.05;5;A+
Id_035;2013;CHILE;899.4;6307.25;27538.03;38756.29;26771.11;35735.63;3020.66;1239.16;2.2;1.26;3.39;20.31;1.62;16.27;7.79;2.57;13.44;6;A
Id_135;2013;CHILE;335.5;555.44;419.4;2028.4;1565.89;1853.18;175.23;23.52;2.73;-0.17;1.21;3.49;0.25;27.38;8.64;1.33;24.3;6;A
Id_037;2013;CHILE;453.95;1117.72;6368.68;8392.27;5758.98;7803.52;588.75;157.87;1.11;0.8;1.93;11.41;0.76;13.32;10.94;2.06;12.19;10;BBB-
Id_049;2013;COSTA_RICA;1186.4;668.11;6008.45;10158.89;8835;9252.58;906.31;358.06;2.41;0.84;3.93;5.74;0.55;6.58;8.92;3.93;8.92;11;BB+
Id_051;2013;COSTA_RICA;901.67;466.57;5630.52;8508.07;5835.85;7699.06;809.01;298.59;1.78;0.24;3.7;8.62;0.84;5.48;9.51;3.98;9.51;11;BB+
Id_053;2013;ECUADOR;775.3;925.6;1650.9;3291.9;2755.5;3028;263.9;119.5;0.34;1.18;3.83;11.88;0.95;28.12;8.02;4.63;8.02;15;B
Id_054;2013;ECUADOR;1908;1991.1;8316.9;12901.5;9895.3;11976.5;925;801.2;1.91;2.22;6.58;6.53;0.49;15.43;7.17;6.9;10.4;15;B
Id_056;2013;EL_SALVADOR;86.71;609.94;2775.29;3943.22;2739.34;3386.73;556.5;191.33;1.58;1.45;4.95;17.25;2.38;15.47;14.11;2.76;17.6;11;BB+
Id_057;2013;EL_SALVADOR;41.7;282.5;1445.6;2031.3;1332.9;1740.4;290.9;84.3;2.98;1.48;4.35;8.88;1.3;13.91;14.32;3.34;18.45;11;BB+
Id_058;2013;GUATEMALA;12.42;272.44;838.66;1599.88;1206.14;1482.49;117.38;123.48;1.42;0.87;8.74;22.79;1.91;17.03;7.34;6.27;13.67;13;BB-
Id_117;2013;MEXICO;18.05;98.8;1164.76;1288.8;1081.86;1109.62;179.18;139.56;15.13;13.85;11.68;3.04;0.43;7.67;13.9;13.78;13.16;15;B
Id_060;2013;MEXICO;81.14;85.27;1257.75;1428.82;2.98;921.27;507.55;827.9;2.89;8.75;60.19;35.31;13.24;5.97;35.52;31.34;27.77;9;BBB
Id_062;2013;MEXICO;6.04;654.3;0;4435.36;55.06;4199.29;236.07;7.95;0;0;0.07;18.06;0.31;14.75;5.32;0.42;16.46;9;BBB
Id_063;2013;MEXICO;5513.25;17699;30201.66;62816.58;31326.12;55709.17;7107.41;2763.43;3.56;3.45;4.61;19.15;2.33;28.18;11.31;2.27;15.91;8;BBB+
Id_064;2013;MEXICO;3549.19;28799.6;55180.97;104912.09;51449.09;95293.24;9618.86;5685.31;3.14;3.42;5.64;24.87;2.4;27.45;11.43;3.36;15.9;8;BBB+
Id_065;2013;MEXICO;3885.6;14598.33;36717.39;88166.25;39479.83;77819.37;10346.88;4706.76;2.42;5.54;5.48;9.85;1.19;16.56;11.74;3.9;13.71;7;A-
Id_066;2013;MEXICO;1211.95;15170.11;33124.08;60254.35;33886.67;54295.11;5959.24;2652.47;3.07;2.11;4.6;16.77;1.59;25.18;9.89;3.38;15.12;9;BBB
Id_067;2013;MEXICO;983.06;5691.81;15676.21;39068.02;21769.74;35427.45;3640.58;1585.9;5.93;4;4.16;4.62;0.44;14.57;9.84;4.41;14.81;7;A-
Id_068;2013;MEXICO;116.54;2871.87;15109.85;19599.51;7697.55;15103.81;4495.7;724.74;4.24;1.39;3.77;21.26;4.91;14.65;22.94;1.79;22.94;8;BBB+
Id_069;2013;MEXICO;213.28;1680.85;7016.22;9025.08;5419.36;8149.5;875.58;349.76;2.06;1.37;4.06;10.22;0.99;18.62;9.7;2.95;11.97;11;BB+
Id_070;2013;MEXICO;189.82;679.85;1554.24;2707.53;1364.97;2542.04;165.49;49.42;2.69;1.76;1.77;3.98;0.23;25.11;6.11;2.66;12.76;13;BB-
Id_071;2013;MEXICO;355.98;3228;11981.57;18457.31;11251.71;16422.05;2035.25;855.89;2.71;2.07;4.82;9.78;1.29;17.49;11.03;5.06;12.3;8;BBB+
Id_072;2013;MEXICO;0.15;478.64;1065.65;1716.97;721.68;1596.38;120.6;51.54;1.05;0.72;2.88;9.28;0.64;27.88;7.02;2.41;15.9;13;BB-
Id_073;2013;MEXICO;949.49;1732.27;331.43;3017.4;875.62;2692.69;324.7;34.95;0.55;0.85;1.1;14.12;1.33;57.41;10.76;6.13;17.71;11;BB+
Id_076;2013;PANAMA;186.7;1367.1;7808.9;11815.7;8862.5;10414.6;1401.1;380.2;0.52;0.3;3.36;19.94;2.42;11.57;11.86;1.78;18.27;9;BBB
Id_078;2013;PANAMA;0.99;317.33;1233.18;1650.47;893.9;1480.13;170.33;41.64;3.2;0.61;2.65;11.31;1.2;19.23;10.32;1.73;12.89;11;BB+
