Id;Year;Country;Cash;Liquid_Assets;Gross_Loans;Total_Assets;Total_Deposits;Total_Liabilities;Total_Equity;Net_Interest_Income;NPL_s_Gross_Loans;Loan_Loss_Provisions_s_Gross_Loans;Net_Interest_Revenue_s_Total_Assets;ROAE;ROAA;Liquid_Assets_s_Total_Assets;Total_Equity_s_Total_Assets;NonInt_Ex_s_Avg_Assets;Total_Cap_Ratio;Rating_num;Rating
Id_099;2020;URUGUAY;841,74;1.112,47;1.829,27;3.656,67;2.986,31;3.421,10;235,57;113,59;1,68;-0,08;3,45;14,14;0,92;30,42;6,44;3,29;12,06;9;BBB
Id_100;2020;URUGUAY;3.999,30;5.147,04;4.580,06;18.348,80;15.563,61;16.436,65;1.912,15;811,85;4,23;-1,10;4,83;26,95;2,90;28,05;10,42;2,69;10,42;9;BBB
Id_101;2020;URUGUAY;1.278,16;2.124,32;2.978,08;6.018,20;5.088,45;5.580,62;437,58;235,03;1,88;1,49;4,35;22,38;1,66;35,30;7,27;2,93;7,27;10;BBB-
Id_102;2020;URUGUAY;337,70;429,46;729,69;1.338,51;994,35;1.266,80;71,72;39,75;1,94;1,12;3,26;18,35;0,97;32,08;5,36;3,67;5,36;8;BBB+
Id_103;2020;URUGUAY;693,62;748,15;1.319,87;3.252,08;2.754,34;3.013,46;238,62;133,80;2,46;1,82;4,51;15,91;1,16;23,01;7,34;4,39;7,34;8;BBB+
Id_104;2020;URUGUAY;18,70;38,34;8,30;72,75;61,82;63,41;9,34;2,39;0,00;31,93;3,00;-54,49;-5,91;52,70;12,83;4,52;12,83;20;CC
Id_001;2020;PANAMA;81,40;604,40;6.437,90;8.516,10;5.209,00;7.734,10;782,00;176,80;2,00;1,00;2,09;5,39;0,49;7,10;9,18;1,54;14,58;10;BBB-
Id_105;2020;PANAMA;23,60;255,50;1.244,50;1.885,70;1.248,20;1.606,40;279,30;54,20;2,62;0,82;2,91;8,63;1,25;13,55;14,81;2,39;23,08;10;BBB-
Id_106;2019;ARGENTINA;4,09;0,52;128,79;117,96;5,69;66,93;51,03;36,27;30,64;27,17;36,38;-50,36;-14,08;0,44;43,26;40,59;43,26;18;CCC
Id_107;2019;ARGENTINA;1,64;2,72;84,30;94,19;38,32;73,95;20,25;7,09;1,88;-0,95;8,23;-41,56;-7,42;2,89;21,49;13,16;21,49;18;CCC
Id_108;2019;ARGENTINA;5,74;22,25;148,34;180,83;10,68;155,40;25,43;25,65;2,80;0,47;15,91;2,72;0,30;12,30;14,06;12,98;14,06;18;CCC
Id_109;2019;ARGENTINA;15,54;39,23;1,03;95,61;10,40;45,93;49,69;18,29;0,00;5,61;16,85;-36,16;-6,89;41,03;51,97;14,31;51,97;18;CCC
Id_110;2019;ARGENTINA;360,03;553,75;637,29;1.404,78;1.005,36;1.223,12;181,67;199,42;9,22;14,93;17,95;14,25;1,46;39,42;12,93;19,89;12,93;18;CCC
Id_111;2019;ARGENTINA;370,63;725,29;934,97;1.881,18;1.170,60;1.566,89;314,29;147,84;3,11;3,73;10,01;22,59;3,16;38,55;16,72;22,28;16,72;18;CCC
Id_112;2019;ARGENTINA;87,16;117,91;185,70;413,55;342,29;373,00;40,55;71,72;4,85;4,43;22,12;-17,08;-1,43;28,51;9,80;37,51;9,80;18;CCC
Id_113;2019;ARGENTINA;77,51;83,63;64,03;203,32;46,11;148,17;55,15;53,51;10,57;-0,32;32,30;28,26;5,82;41,13;27,13;16,02;27,13;18;CCC
Id_002;2019;ARGENTINA;1.016,34;500,76;2.024,28;4.408,00;2.880,34;3.626,86;781,14;862,29;2,36;5,30;24,67;56,44;7,99;11,36;17,72;15,10;19,93;17;CCC+
